scenario,repetition,scheme,test_cindex,test_cindex_gain,support_recovery,no_relation,censoring_fraction
R2_complementary,1,joint_m010,0.6370607028753994,0.022364217252396235,0.45,0.0,0.3666666666666667
R2_complementary,1,joint_m020,0.6370607028753994,0.022364217252396235,0.45,0.0,0.3666666666666667
R2_complementary,2,joint_m0,0.625,0.017076502732240484,0.65,0.0,0.4222222222222223
R2_complementary,2,joint_m005,0.625,0.017076502732240484,0.65,0.0,0.4222222222222223
R2_complementary,2,joint_m010,0.625,0.017076502732240484,0.65,0.0,0.4222222222222223
R2_complementary,2,joint_m020,0.625,0.017076502732240484,0.65,0.0,0.4222222222222223
R2_complementary,3,joint_m0,0.5725406935598019,0.0014154281670205604,0.45,0.0,0.4277777777777778
R2_complementary,3,joint_m005,0.5725406935598019,0.0014154281670205604,0.45,0.0,0.4277777777777778
R2_complementary,3,joint_m010,0.5697098372257607,-0.0014154281670205604,0.5,0.0,0.4277777777777778
R2_complementary,3,joint_m020,0.5697098372257607,-0.0014154281670205604,0.5,0.0,0.4277777777777778
R2_complementary,4,joint_m0,0.6379187455452602,-0.004276550249465383,0.55,0.0,0.4222222222222223
R2_complementary,4,joint_m005,0.6379187455452602,-0.004276550249465383,0.55,0.0,0.4222222222222223
R2_complementary,4,joint_m010,0.6379187455452602,-0.004276550249465383,0.55,0.0,0.4222222222222223
R2_complementary,4,joint_m020,0.6379187455452602,-0.004276550249465383,0.55,0.0,0.4222222222222223
R2_complementary,5,joint_m0,0.5570307785153893,0.015087507543753764,0.45,0.0,0.3833333333333333
R2_complementary,5,joint_m005,0.5570307785153893,0.015087507543753764,0.45,0.0,0.3833333333333333
R2_complementary,5,joint_m010,0.5570307785153893,0.015087507543753764,0.45,0.0,0.3833333333333333
R2_complementary,5,joint_m020,0.5570307785153893,0.015087507543753764,0.45,0.0,0.3833333333333333
R2_complementary,6,joint_m0,0.6758538046734571,0.009586578789694378,0.45,0.0,0.4388888888888889
R2_complementary,6,joint_m005,0.6758538046734571,0.009586578789694378,0.45,0.0,0.4388888888888889
R2_complementary,6,joint_m010,0.6758538046734571,0.009586578789694378,0.45,0.0,0.4388888888888889
R2_complementary,6,joint_m020,0.6758538046734571,0.009586578789694378,0.45,0.0,0.4388888888888889
R2_complementary,7,joint_m0,0.6319290465631929,0.003325942350332567,0.5,0.0,0.39722222222222225
R2_complementary,7,joint_m005,0.6169623059866962,-0.01164079822616415,0.45,0.0,0.39722222222222225
R2_complementary,7,joint_m010,0.6169623059866962,-0.01164079822616415,0.45,0.0,0.39722222222222225
R2_complementary,7,joint_m020,0.6363636363636364,0.0077605321507759895,0.6,0.0,0.39722222222222225
R2_complementary,8,joint_m0,0.6323155216284987,0.07951653944020354,0.5,0.0,0.43333333333333335
R2_complementary,8,joint_m005,0.6323155216284987,0.07951653944020354,0.5,0.0,0.43333333333333335
R2_complementary,8,joint_m010,0.6323155216284987,0.07951653944020354,0.5,0.0,0.43333333333333335
R2_complementary,8,joint_m020,0.6323155216284987,0.07951653944020354,0.5,0.0,0.43333333333333335
R2_complementary,9,joint_m0,0.5329268292682927,0.07073170731707318,0.8,0.0,0.4083333333333333
R2_complementary,9,joint_m005,0.5329268292682927,0.07073170731707318,0.8,0.0,0.4083333333333333
R2_complementary,9,joint_m010,0.5329268292682927,0.07073170731707318,0.8,0.0,0.4083333333333333
R2_complementary,9,joint_m020,0.5329268292682927,0.07073170731707318,0.8,0.0,0.4083333333333333
R2_complementary,10,joint_m0,0.6006511123168746,0.024416711882799702,0.5,0.0,0.36944444444444446
R2_complementary,10,joint_m005,0.6006511123168746,0.024416711882799702,0.5,0.0,0.36944444444444446
R2_complementary,10,joint_m010,0.6006511123168746,0.024416711882799702,0.5,0.0,0.36944444444444446
R2_complementary,10,joint_m020,0.6006511123168746,0.024416711882799702,0.5,0.0,0.36944444444444446
R2_complementary,11,joint_m0,0.6226415094339622,-0.02130249543517959,0.2,0.0,0.36944444444444446
R2_complementary,11,joint_m005,0.6226415094339622,-0.02130249543517959,0.2,0.0,0.36944444444444446
R2_complementary,11,joint_m010,0.5903834449178332,-0.053560559951308595,0.15,0.0,0.36944444444444446
R2_complementary,11,joint_m020,0.6439440048691418,0.0,0.2,1.0,0.36944444444444446
R2_complementary,12,joint_m0,0.5454545454545454,0.004159239453357055,0.45,0.0,0.4194444444444444
R2_complementary,12,joint_m005,0.5454545454545454,0.004159239453357055,0.45,0.0,0.4194444444444444
R2_complementary,12,joint_m010,0.5454545454545454,0.004159239453357055,0.45,0.0,0.4194444444444444
R2_complementary,12,joint_m020,0.5454545454545454,0.004159239453357055,0.45,0.0,0.4194444444444444
R2_complementary,13,joint_m0,0.6033690658499234,-0.0444104134762634,0.55,0.0,0.41666666666666663
R2_complementary,13,joint_m005,0.6033690658499234,-0.0444104134762634,0.55,0.0,0.41666666666666663
R2_complementary,13,joint_m010,0.6033690658499234,-0.0444104134762634,0.55,0.0,0.41666666666666663
R2_complementary,13,joint_m020,0.6033690658499234,-0.0444104134762634,0.55,0.0,0.41666666666666663
R2_complementary,14,joint_m0,0.5396325459317586,0.014173228346456734,0.55,0.0,0.3583333333333333
R2_complementary,14,joint_m005,0.5396325459317586,0.014173228346456734,0.55,0.0,0.3583333333333333
R2_complementary,14,joint_m010,0.5396325459317586,0.014173228346456734,0.55,0.0,0.3583333333333333
R2_complementary,14,joint_m020,0.5254593175853018,0.0,0.35,1.0,0.3583333333333333
R2_complementary,15,joint_m0,0.6435366536094013,0.029099048684946838,0.55,0.0,0.3944444444444445
R2_complementary,15,joint_m005,0.6435366536094013,0.029099048684946838,0.55,0.0,0.3944444444444445
R2_complementary,15,joint_m010,0.6435366536094013,0.029099048684946838,0.55,0.0,0.3944444444444445
R2_complementary,15,joint_m020,0.6138780078343593,-0.0005595970900951208,0.4,0.0,0.3944444444444445
R2_complementary,16,joint_m0,0.5830833833233353,0.02279544091181762,0.6,0.0,0.4027777777777778
R2_complementary,16,joint_m005,0.5830833833233353,0.02279544091181762,0.6,0.0,0.4027777777777778
R2_complementary,16,joint_m010,0.5830833833233353,0.02279544091181762,0.6,0.0,0.4027777777777778
R2_complementary,16,joint_m020,0.584883023395321,0.024595080983803252,0.55,0.0,0.4027777777777778
R2_complementary,17,joint_m0,0.5283687943262412,0.010638297872340496,0.6,0.0,0.4527777777777777
R2_complementary,17,joint_m005,0.5283687943262412,0.010638297872340496,0.6,0.0,0.4527777777777777
R2_complementary,17,joint_m010,0.5283687943262412,0.010638297872340496,0.6,0.0,0.4527777777777777
